IGSN;Sample Name;Material;Release Date;Latitude;Longitude;Field program/cruise;Collection date
10.58052/IEFOU002Q;37-LRX_SUBSOIL_01;Soil;2023-07-19;47.150701;0.759586;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU002R;37-LRX_SUBSOIL_02;Soil;2023-07-19;47.144815;0.747967;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU002S;37-LRX_SUBSOIL_03;Soil;2023-07-19;47.143538;0.737476;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU002T;37-LRX_SUBSOIL_04;Soil;2023-07-19;47.137989;0.728828;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU002U;37-LRX_SUBSOIL_05;Soil;2023-07-19;47.123786;0.743559;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU002V;37-LRX_SUBSOIL_06;Soil;2023-07-19;47.12729;0.752502;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU002W;37-LRX_SUBSOIL_07;Soil;2023-07-19;47.130794;0.759427;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU002X;37-LRX_SUBSOIL_08;Soil;2023-07-19;47.138253;0.767266;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU002Y;37-LRX_SUBSOIL_09;Soil;2023-07-19;47.140802;0.77091;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU002Z;37-LRX_SUBSOIL_10;Soil;2023-07-19;47.152902599381;0.73656482441707;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU0030;37-LRX_SUBSOIL_11;Soil;2023-07-19;47.151975847303;0.73426329160044;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU0031;37-LRX_SUBSOIL_12;Soil;2023-07-19;47.143439;0.737509;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU0032;37-LRX_SUBSOIL_13;Soil;2023-07-19;47.15441;0.718325;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU0033;37-LRX_SUBSOIL_14;Soil;2023-07-19;47.149848;0.719771;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU0034;37-LRX_SUBSOIL_15;Soil;2023-07-19;47.12964;0.73330124;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU0035;37-LRX_SUBSOIL_16;Soil;2023-07-19;47.138423;0.76149911;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU0036;37-LRX_SUBSOIL_17;Soil;2023-07-19;47.1540639;0.73956038;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU0037;37-LRX_RUNOFF_01;Soil;2023-07-19;47.150701;0.759586;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU0038;37-LRX_RUNOFF_02;Soil;2023-07-19;47.148891;0.755311;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU0039;37-LRX_RUNOFF_03;Soil;2023-07-19;47.141778;0.736759;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
10.58052/IEFOU003A;37-LRX_RUNOFF_04;Soil;2023-07-19;47.137540603348;0.73901438939985;VERSEAU - DRASTICprojects (Loire-Bretagne Water Agency);2013-01-16T05:00:00Z
